Date,MSFT,ORCL,IBM,AAPL,BMRC
2018/10/1,110.279961,51.799999,146.271515,54.645794,37.299919
2018/10/2,109.841171,50.23,146.988525,55.131512,37.052036
2018/10/3,109.860229,49.75,146.481842,55.802387,37.588367
2018/10/4,107.589951,49.470001,144.655838,54.821327,38.039063
2018/10/5,106.960388,49.349998,142.476105,53.931633,37.926392
2018/10/8,105.739395,49.360001,141.864243,53.80661,37.764137
2018/10/9,107.084396,48.869999,140.764816,54.55201,38.012028
2018/10/10,101.265633,47.400002,136.414917,52.024834,37.097103
2018/10/11,101.027161,46.779999,132.906311,51.565563,35.415989
2018/10/12,104.518417,47.380001,134.655838,53.407448,35.569225
2018/10/15,102.639244,47.119999,134.923523,52.265285,36.09655
2018/10/16,105.882484,48.23,138.738052,53.417061,35.898247
2018/10/17,105.60585,47.860001,128.154877,53.186237,36.168663
2018/10/18,103.497742,47.380001,124.808792,51.943073,35.749504
2018/10/19,103.650368,47.59,123.422562,52.734173,35.641346
2018/10/22,104.575661,47.939999,124.302101,53.056377,35.384445
2018/10/23,103.11618,47.990002,125.439774,53.556522,36.46162
2018/10/24,97.602661,46.759998,121.615677,51.719448,35.898247
2018/10/25,103.306961,47.959999,120.889099,52.85199,37.056538
2018/10/26,102.02874,47.32,119.302101,52.010403,36.880764
2018/10/29,99.062126,47.02,114.378586,51.034168,37.439629
2018/10/30,98.947662,48.57,110.32505,51.289043,38.129196
2018/10/31,101.885666,48.84,110.353729,52.625969,38.464104
2018/11/1,101.03669,48.59,111.692162,53.433899,37.586117
2018/11/2,101.265633,48.830002,110.583176,49.889587,38.961941
2018/11/5,102.553383,49.02,114.780113,48.473312,38.559143
2018/11/6,102.753693,49.25,117.705544,48.997509,39.056973
2018/11/7,106.798225,50.259998,119.349907,50.483513,38.522949
2018/11/8,106.5979,50.43,117.954109,50.307377,38.830685
2018/11/9,104.518417,50.610001,118.107079,49.337376,37.925545
2018/11/12,101.942902,49.220001,115.583176,46.852036,37.95723
2018/11/13,102.009651,49.509998,115.52581,46.383926,38.06131
2018/11/14,100.563065,48.84,114.913956,45.073711,37.608742
2018/11/15,102.776077,50.630001,116.099426,46.186069,38.192554
2018/11/16,103.74369,51.169998,116.223709,46.697617,38.482208
2018/11/19,100.227753,49.549999,115.019119,44.846893,37.66758
2018/11/20,97.439911,48.330002,112.045891,42.704189,36.65834
2018/11/21,98.781143,48.619999,113.355644,42.655941,36.807693
2018/11/23,98.742828,48.700001,112.036331,41.572529,37.970802
2018/11/26,102.000084,48.259998,114.302101,42.134743,38.007011
2018/11/27,102.641953,47.439999,114.751434,42.04306,37.242161
2018/11/28,106.45488,48.189999,117.59082,43.659729,38.740166
2018/11/29,105.563919,47.900002,116.137665,43.324333,38.541042
2018/11/30,106.234512,48.759998,118.80497,43.090267,38.640606
2018/12/3,107.384148,49.830002,119.799232,44.595955,38.649666
2018/12/4,103.964012,48.75,116.252388,42.63422,35.979485
2018/12/6,104.605881,46.68,118.4608,42.158882,35.29158
2018/12/7,100.41935,46,114.091782,40.655617,35.526909
2018/12/10,103.073059,46.669998,115.803062,40.923458,35.707939
2018/12/11,104.03109,46.459999,115.573616,40.6894,35.689842
2018/12/12,104.500526,47.32,115.831741,40.802811,36.730751
2018/12/13,104.854973,47.23,115.420647,41.249199,35.581219
2018/12/14,101.57856,46.599998,114.627151,39.929321,35.925171
2018/12/17,98.570374,45.73,110.994263,39.557747,36.024738
2018/12/18,99.605049,45.849998,111.520073,40.071686,35.83466
2018/12/19,99.336815,46.450001,111.309753,38.821777,34.974777
2018/12/20,97.248329,46.240002,108.049713,37.842129,35.155804
2018/12/21,94.106026,44,106.061188,36.370235,34.857105
2018/12/24,90.178169,42.689999,102.839386,35.429184,34.404537
2018/12/26,96.338196,44.59,106.491394,37.924164,35.436398
2018/12/27,96.932175,44.970001,108.776291,37.678047,35.146755
2018/12/28,96.175354,44.82,108.059273,37.697346,36.866528
